,iata,name,city,state,country,latitude,longitude
2116,LVM,Mission,Livingston,MT,USA,45.69938889,-110.44830559999998
2117,LVN,Airlake,Minneapolis,MN,USA,44.62785361,-93.22810806
2118,LVS,Las Vegas Municipal,Las Vegas,NM,USA,35.65422222,-105.1423889
2119,LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222
2120,LWC,Lawrence Municipal,Lawrence,KS,USA,39.01115222,-95.21657694
2121,LWD,Lamoni Municipal,Lamoni,IA,USA,40.63333306,-93.90217028
2122,LWL,Wells Municipal/Harriet,Wells,NV,USA,41.11853306,-114.92226609999999
2123,LWM,Lawrence Municipal,Lawrence,MA,USA,42.71720944,-71.12343
2124,LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.01539440000002
2125,LWT,Lewistown Muni,Lewistown,MT,USA,47.04913944,-109.4666006
2126,LWV,Lawrenceville-Vincennes Municipal,Lawrenceville,IL,USA,38.76429639,-87.60549556
2127,LXL,Little Falls - Morrison County,Little Falls,MN,USA,45.94943778,-94.34708472
2128,LXN,Lexington (Jim Kelly),Lexington,NE,USA,40.791,-99.77727778
2129,LXT,Lee's Summit Municipal,Lee's Summit,MO,USA,38.95975,-94.37158333
2130,LXV,Lake County,Leadville,CO,USA,39.2202675,-106.3166906
2131,LXY,Mexia-Limestone County,Mexia,TX,USA,31.63983472,-96.51472222
2132,LYH,Lynchburg Municipal-Preston Glenn,Lynchburg,VA,USA,37.32668528,-79.20043056
2133,LYO,Lyons-Rice County Municipal,Lyons,KS,USA,38.34261472,-98.22709639
2134,LZU,Gwinnett County,Lawrenceville,GA,USA,33.97807611,-83.96237722
2135,M01,General Dewitt Spain,Memphis,TN,USA,35.20069278,-90.05397694
2136,M02,Dickson Municipal,Dickson,TN,USA,36.12931722,-87.43007056
2137,M03,Dennis F Cantrell,Conway,AR,USA,35.08080778,-92.42496167
2138,M04,Covington Municipal,Covington,TN,USA,35.583365,-89.58722167
2139,M05,Caruthersville Memorial,Caruthersville,MO,USA,36.17506917,-89.67508000000001
2140,M08,William L. Whitehurst,Bolivar,TN,USA,35.21445944,-89.04336222
2141,M09,Piedmont Municipal,Piedmont,MO,USA,37.12671694,-90.7128975
2142,M11,Copiah County,Crystal Springs,MS,USA,31.90293639,-90.36870222
2143,M13,Poplarville-Pearl River County,Poplarville,MS,USA,30.78602056,-89.50450694
2144,M15,Perry County,Linden,TN,USA,35.59590306,-87.87669361
2145,M16,John Bell Williams,Raymond,MS,USA,32.30334111,-90.40848333
2146,M17,Bolivar Municipal,Bolivar,MO,USA,37.59693194,-93.34765
2147,M18,Hope Municipal,Hope,AR,USA,33.72008889,-93.65884556
2148,M19,Newport Municipal,Newport,AR,USA,35.63771778,-91.17637556
2149,M21,Muhlenberg County,Greenville,KY,USA,37.22561111,-87.15752778
2150,M22,Russellville Municipal,Russellville,AL,USA,34.44953972,-87.71030833
2151,M23,James H. Easom,Newton,MS,USA,32.31181111,-89.13589194
2152,M24,Dean Griffin Memorial,Wiggins,MS,USA,30.84324389,-89.15977333
2153,M25,Mayfield-Graves County,Mayfield,KY,USA,36.76911111,-88.58472222
2154,M27,Waldron Municipal,Waldron,AR,USA,34.87509944,-94.10993056
2155,M29,Hassel,Clifton,TN,USA,35.38507528,-87.96752833
2156,M30,Metropolis Municipal,Metropolis,IL,USA,37.18588722,-88.75061
2157,M32,Lake Village Municipal,Lake Village,AR,USA,33.345977500000004,-91.31569833
2158,M33,Sumner County Regional,Gallatin,TN,USA,36.37684472,-86.40875861
2159,M34,Kentucky Dam State Park,Gilbertsville,KY,USA,37.00950028,-88.29586639
2160,M36,Frank Federer Memorial,Brinkley,AR,USA,34.88000194,-91.1764375
2161,M37,Ruleville-Drew,Drew,MS,USA,33.77639167,-90.52500833
